"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2020,33,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",8
2020,33,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",18
2020,33,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",17
2020,34,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,34,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",14
2020,34,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",10
2020,34,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",1
2020,35,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,35,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",10
2020,35,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",13
2020,36,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",3
2020,36,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",8
2020,36,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",6
2020,36,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",1
2020,37,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",9
2020,37,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",11
2020,37,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",1
2020,38,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,38,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",2
2020,38,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",12
2020,38,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",12
2020,39,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",3
2020,39,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",35
