ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,UIDENTSTLAE
05,5,62,020,2019,01,14,7,2,1,6,0,0,1,0,0,0,0,371302.276780501940000,5717669.839881002900000,7.141952336000031,51.595357693000039,1,
05,5,62,020,2019,01,12,7,3,2,6,0,0,1,0,0,0,0,372304.804293869990000,5718364.830489672700000,7.156165032000047,51.601831663000041,1,
05,5,13,000,2019,01,18,7,3,1,6,2,0,1,0,0,0,0,367432.624000000770000,5708578.490000000200000,7.089544873000023,51.512759728000049,1,
05,5,13,000,2019,01,15,7,3,1,5,0,0,1,0,0,0,0,367695.319350853560000,5708891.136857990200000,7.093211025000073,51.515630975000079,1,
05,5,66,068,2019,01,16,7,3,8,1,0,0,1,0,0,0,0,371348.303266957400000,5784292.537541873800000,7.117758158000072,52.194061667000028,1,
05,5,62,014,2019,01,13,7,3,2,2,0,0,1,0,0,0,0,359678.786444615570000,5713397.591591613400000,6.975955213000020,51.554192030000081,1,
05,5,66,016,2019,01,09,7,2,9,1,0,0,1,0,0,0,0,401555.156990720890000,5794255.809228468700000,7.556622455000024,52.289830104000032,1,
05,5,70,040,2019,01,12,6,2,8,1,0,0,1,0,0,0,1,412911.769999999550000,5746931.676000000900000,7.735165306000056,51.866368633000036,1,
05,5,70,004,2019,01,19,6,3,8,1,2,0,1,0,0,0,0,424885.479000001210000,5735160.624000003600000,7.911582502000044,51.762292195000043,1,
05,5,66,040,2019,01,16,6,2,5,2,0,0,1,0,0,0,0,424829.874667652880000,5779975.477363687000000,7.900967032000040,52.165142188000061,1,
05,5,66,076,2019,01,20,6,3,1,6,2,0,1,0,0,0,0,393935.314192061310000,5793271.214538628200000,7.445254766000062,52.279563404000044,1,
05,5,66,064,2019,01,15,6,3,0,6,0,0,1,0,0,0,0,397439.056047837250000,5774960.544862482700000,7.502138256000023,52.115659901000072,1,
05,5,58,032,2019,01,16,6,3,1,6,2,0,1,0,0,0,0,389846.381000000980000,5752248.605000000400000,7.398601309000071,51.910077987000079,1,
05,5,58,016,2019,01,01,6,2,9,1,2,0,1,0,0,0,0,381928.589197193270000,5750397.702669015200000,7.284181414000045,51.891821774000050,2,
05,5,54,056,2019,01,16,6,3,5,2,1,0,1,0,0,0,0,356836.528234990310000,5762420.269369572400000,6.914774847000047,51.993966528000044,1,
05,5,15,000,2019,01,10,6,3,2,6,0,0,1,0,0,0,0,407043.794199236670000,5757872.107910919900000,7.647013014000038,51.963760756000056,1,
05,5,62,012,2019,01,19,6,2,3,6,2,0,1,0,0,0,0,359295.100050594660000,5725783.755872031700000,6.965453198000034,51.665397285000040,1,
05,5,62,014,2019,01,18,6,3,1,6,2,0,1,0,0,0,0,360425.596157710070000,5713871.874418923600000,6.986532045000047,51.558639231000029,1,
05,5,62,032,2019,01,21,6,3,5,7,2,0,1,0,0,0,0,375237.111102278340000,5719952.798782300200000,7.197917672000074,51.616760138000075,1,
05,5,13,000,2019,01,12,6,3,5,2,0,0,1,0,0,0,1,366928.136000000870000,5714890.596999999100000,7.079892428000051,51.569365620000042,1,
05,5,13,000,2019,01,13,6,3,1,6,0,0,1,0,0,0,0,365331.025209671820000,5715325.795991560400000,7.056694926000034,51.572897325000042,1,
05,5,54,028,2019,01,17,6,2,9,7,2,0,1,0,0,0,0,360670.847651658580000,5740936.532515855500000,6.979267089000075,51.801899713000068,1,
05,5,13,000,2019,01,17,6,3,2,6,2,0,1,0,0,0,0,366397.857062639670000,5710019.045227600300000,7.074095526000065,51.525461702000030,1,
05,5,70,008,2019,01,23,5,3,9,1,2,0,1,0,0,0,0,429604.906562008890000,5735789.553024869400000,7.979827985000043,51.768559427000071,1,
05,5,70,004,2019,01,05,5,2,5,2,2,0,1,0,0,0,0,426097.912999999710000,5735848.139000002300000,7.929001204000031,51.768634116000044,1,
05,5,66,028,2019,01,12,5,3,5,2,0,1,1,0,0,0,0,412036.554358567110000,5792376.903217155500000,7.710744073000058,52.274719965000031,1,
05,5,66,012,2019,01,15,5,3,1,7,0,1,1,0,0,0,0,400772.741288098510000,5776390.770319178700000,7.550391171000058,52.129122924000058,0,
